SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
22qvsCN_AB,Laccumb,0.38,0.26,-0.13,0.89,82,18,1.78E-01,2.80E-01
22qvsCN_AB,Lamyg,-0.44,0.26,-0.95,0.08,86,18,1.18E-01,2.08E-01
22qvsCN_AB,Lcaud,-0.17,0.26,-0.68,0.34,86,18,5.48E-01,6.42E-01
22qvsCN_AB,Lhippo,-0.62,0.27,-1.15,-0.09,83,17,3.20E-02,7.20E-02
22qvsCN_AB,Lpal,-0.09,0.26,-0.6,0.42,84,18,7.49E-01,8.06E-01
22qvsCN_AB,Lput,-0.41,0.26,-0.9,0.1,86,18,1.39E-01,2.33E-01
22qvsCN_AB,Lthal,0.27,0.26,-0.24,0.78,86,18,3.39E-01,4.57E-01
22qvsCN_AB,LLatVent,1.12,0.27,0.59,1.65,86,18,1.12E-04,4.14E-04
22qvsCN_AB,Raccumb,0.85,0.27,0.33,1.37,84,18,3.01E-03,8.82E-03
22qvsCN_AB,Ramyg,-0.21,0.26,-0.72,0.3,86,18,4.54E-01,5.85E-01
22qvsCN_AB,Rcaud,0.29,0.26,-0.22,0.8,86,18,3.05E-01,4.22E-01
22qvsCN_AB,Rhippo,-0.53,0.26,-1.04,-0.01,85,18,6.03E-02,1.22E-01
22qvsCN_AB,Rpal,0.00,0.26,-0.51,0.5,85,18,9.86E-01,9.86E-01
22qvsCN_AB,Rput,-0.44,0.26,-0.95,-0.08,86,18,1.20E-01,2.08E-01
22qvsCN_AB,Rthal,0.38,0.27,-0.15,0.9,85,17,1.88E-01,2.91E-01
22qvsCN_AB,RLatVent,1.11,0.27,0.58,1.64,86,18,1.31E-04,4.45E-04
