SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDadult_medicatedcasevsCN,Laccumb,-0.074,0.071,-0.213,0.066,996,611,0.301,
OCDadult_medicatedcasevsCN,Lamyg,-0.121,0.064,-0.246,0.004,971,608,0.057,
OCDadult_medicatedcasevsCN,Lcaud,0.095,0.054,-0.011,0.201,975,598,0.078,
OCDadult_medicatedcasevsCN,Lhippo,-0.294,0.07,-0.432,-0.156,982,600,2.93E-05,
OCDadult_medicatedcasevsCN,Lpal,0.287,0.066,0.159,0.416,907,547,1.20E-05,
OCDadult_medicatedcasevsCN,Lput,0.149,0.072,0.008,0.291,922,563,0.039,
OCDadult_medicatedcasevsCN,Lthal,-0.112,0.056,-0.222,-0.002,969,576,0.046,
OCDadult_medicatedcasevsCN,LLatVent,0.245,0.082,0.082,0.406,1005,622,2.95E-03,
OCDadult_medicatedcasevsCN,Raccumb,-0.074,0.071,-0.213,0.066,996,611,0.301,
OCDadult_medicatedcasevsCN,Ramyg,-0.121,0.064,-0.246,0.004,971,608,0.057,
OCDadult_medicatedcasevsCN,Rcaud,0.095,0.054,-0.011,0.201,975,598,0.078,
OCDadult_medicatedcasevsCN,Rhippo,-0.294,0.07,-0.432,-0.156,982,600,2.93E-05,
OCDadult_medicatedcasevsCN,Rpal,0.287,0.066,0.159,0.416,907,547,1.20E-05,
OCDadult_medicatedcasevsCN,Rput,0.149,0.072,0.008,0.291,922,563,0.039,
OCDadult_medicatedcasevsCN,Rthal,-0.112,0.056,-0.222,-0.002,969,576,0.046,
OCDadult_medicatedcasevsCN,RLatVent,0.245,0.082,0.082,0.406,1005,622,2.95E-03,
