SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
22qvsCN_AD,Laccumb,0.42,0.15,0.13,0.71,82,106,6.87E-03,1.88E-02
22qvsCN_AD,Lamyg,-0.27,0.15,-0.56,0.02,86,105,7.63E-02,1.51E-01
22qvsCN_AD,Lcaud,0.51,0.15,0.22,0.8,86,106,9.65E-04,3.04E-03
22qvsCN_AD,Lhippo,-0.85,0.16,-1.16,-0.54,83,93,2.43E-07,1.38E-06
22qvsCN_AD,Lpal,-0.11,0.15,-0.4,0.18,84,101,4.95E-01,6.19E-01
22qvsCN_AD,Lput,-0.25,0.15,-0.54,0.04,86,106,9.94E-02,1.80E-01
22qvsCN_AD,Lthal,-0.35,0.17,-0.68,-0.02,56,103,2.96E-02,6.99E-02
22qvsCN_AD,LLatVent,0.90,0.15,0.61,1.2,86,106,1.18E-08,7.47E-08
22qvsCN_AD,Raccumb,0.64,0.15,0.34,0.94,84,101,5.32E-05,2.06E-04
22qvsCN_AD,Ramyg,-0.14,0.15,-0.43,0.14,86,105,3.47E-01,4.61E-01
22qvsCN_AD,Rcaud,0.96,0.15,0.66,1.26,86,105,2.00E-09,1.78E-08
22qvsCN_AD,Rhippo,-0.92,0.15,-1.22,-0.61,85,102,1.23E-08,7.47E-08
22qvsCN_AD,Rpal,-0.03,0.15,-0.31,0.26,85,106,8.49E-01,8.91E-01
22qvsCN_AD,Rput,-0.18,0.15,-0.47,0.11,86,106,2.35E-01,3.57E-01
22qvsCN_AD,Rthal,0.23,0.15,-0.06,0.52,85,102,1.40E-01,2.33E-01
22qvsCN_AD,RLatVent,1.01,0.15,0.71,1.31,86,106,2.95E-10,3.13E-09
