SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDallages_casevsCN,Laccumb,-0.15,,-0.22,-0.08,1471,1652,1.00E-04,
ADHDallages_casevsCN,Lamyg,-0.19,,-0.26,-0.11,1463,1598,1.00E-04,
ADHDallages_casevsCN,Lcaud,-0.11,,-0.18,-0.05,1489,1659,1.40E-03,
ADHDallages_casevsCN,Lhippo,-0.11,,-0.18,-0.03,1436,1599,4.10E-03,
ADHDallages_casevsCN,Lpal,0,,-0.07,0.07,1471,1651,9.50E-01,
ADHDallages_casevsCN,Lput,-0.14,,-0.21,-0.07,1497,1660,1.00E-04,
ADHDallages_casevsCN,Lthal,-0.03,,-0.04,0.11,1242,1405,3.90E-01,
ADHDallages_casevsCN,LLatVent,,,,,,,,
ADHDallages_casevsCN,Raccumb,-0.15,,-0.22,-0.08,1471,1652,1.00E-04,
ADHDallages_casevsCN,Ramyg,-0.19,,-0.26,-0.11,1463,1598,1.00E-04,
ADHDallages_casevsCN,Rcaud,-0.11,,-0.18,-0.05,1489,1659,1.40E-03,
ADHDallages_casevsCN,Rhippo,-0.11,,-0.18,-0.03,1436,1599,4.10E-03,
ADHDallages_casevsCN,Rpal,0,,-0.07,0.07,1471,1651,9.50E-01,
ADHDallages_casevsCN,Rput,-0.14,,-0.21,-0.07,1497,1660,1.00E-04,
ADHDallages_casevsCN,Rthal,-0.03,,-0.04,0.11,1242,1405,3.90E-01,
ADHDallages_casevsCN,RLatVent,,,,,,,,
