CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
TLEMTS-L_vs_CTL,L_bankssts,-0.1,0.112,-0.319,0.119,1279,383,0.372,4.40E-01
TLEMTS-L_vs_CTL,L_caudalanteriorcingulate,0.181,0.06,0.064,0.299,1343,411,0.003,7.14E-03
TLEMTS-L_vs_CTL,L_caudalmiddlefrontal,-0.403,0.07,-0.539,-0.266,1344,412,7.07E-09,8.48E-08
TLEMTS-L_vs_CTL,L_cuneus,-0.19,0.127,-0.438,0.059,1342,412,0.134,1.82E-01
TLEMTS-L_vs_CTL,L_entorhinal,-0.445,0.072,-0.586,-0.303,1102,303,7.35E-10,1.23E-08
TLEMTS-L_vs_CTL,L_fusiform,-0.359,0.069,-0.495,-0.223,1339,412,2.19E-07,1.84E-06
TLEMTS-L_vs_CTL,L_inferiorparietal,-0.242,0.129,-0.496,0.011,1333,410,0.061,9.72E-02
TLEMTS-L_vs_CTL,L_inferiortemporal,-0.207,0.075,-0.353,-0.06,1342,412,0.006,1.40E-02
TLEMTS-L_vs_CTL,L_isthmuscingulate,-0.021,0.079,-0.175,0.134,1343,411,0.791,8.10E-01
TLEMTS-L_vs_CTL,L_lateraloccipital,-0.311,0.15,-0.606,-0.016,1344,412,0.039,6.65E-02
TLEMTS-L_vs_CTL,L_lateralorbitofrontal,-0.06,0.073,-0.202,0.083,1343,412,0.411,4.69E-01
TLEMTS-L_vs_CTL,L_lingual,-0.352,0.133,-0.612,-0.092,1343,412,0.008,1.82E-02
TLEMTS-L_vs_CTL,L_medialorbitofrontal,0.041,0.082,-0.119,0.202,1344,412,0.613,6.36E-01
TLEMTS-L_vs_CTL,L_middletemporal,-0.287,0.095,-0.473,-0.101,1241,386,0.002,7.14E-03
TLEMTS-L_vs_CTL,L_parahippocampal,-0.3,0.073,-0.444,-0.157,1335,410,3.95E-05,1.75E-04
TLEMTS-L_vs_CTL,L_paracentral,-0.426,0.099,-0.62,-0.232,1344,412,1.61E-05,7.51E-05
TLEMTS-L_vs_CTL,L_parsopercularis,-0.2,0.095,-0.386,-0.014,1342,411,0.035,6.51E-02
TLEMTS-L_vs_CTL,L_parsorbitalis,-0.15,0.092,-0.33,0.03,1344,412,0.102,1.50E-01
TLEMTS-L_vs_CTL,L_parstriangularis,-0.282,0.093,-0.463,-0.101,1344,411,0.002,6.90E-03
TLEMTS-L_vs_CTL,L_pericalcarine,-0.198,0.122,-0.438,0.042,1344,411,0.105,1.52E-01
TLEMTS-L_vs_CTL,L_postcentral,-0.327,0.137,-0.596,-0.059,1341,411,0.017,3.42E-02
TLEMTS-L_vs_CTL,L_posteriorcingulate,-0.012,0.06,-0.129,0.106,1344,411,0.845,8.55E-01
TLEMTS-L_vs_CTL,L_precentral,-0.466,0.081,-0.625,-0.308,1339,412,8.64E-09,9.07E-08
TLEMTS-L_vs_CTL,L_precuneus,-0.536,0.135,-0.801,-0.271,1343,412,7.35E-05,3.09E-04
TLEMTS-L_vs_CTL,L_rostralanteriorcingulate,0.061,0.07,-0.077,0.199,1342,411,0.388,4.53E-01
TLEMTS-L_vs_CTL,L_rostralmiddlefrontal,-0.203,0.101,-0.4,-0.005,1344,412,0.044,7.41E-02
TLEMTS-L_vs_CTL,L_superiorfrontal,-0.411,0.06,-0.529,-0.293,1343,412,1.02E-11,4.28E-10
TLEMTS-L_vs_CTL,L_superiorparietal,-0.472,0.142,-0.75,-0.193,1340,412,0.001,2.96E-03
TLEMTS-L_vs_CTL,L_superiortemporal,-0.399,0.111,-0.616,-0.182,1228,387,0,1.14E-03
TLEMTS-L_vs_CTL,L_supramarginal,-0.286,0.096,-0.474,-0.097,1300,395,0.003,7.80E-03
TLEMTS-L_vs_CTL,L_frontalpole,-0.063,0.06,-0.18,0.055,1343,410,0.296,3.60E-01
TLEMTS-L_vs_CTL,L_temporalpole,-0.315,0.068,-0.447,-0.182,1341,410,3.33E-06,1.75E-05
TLEMTS-L_vs_CTL,L_transversetemporal,-0.141,0.067,-0.272,-0.009,1341,412,0.036,6.51E-02
TLEMTS-L_vs_CTL,L_insula,0.153,0.079,-0.002,0.309,1320,402,0.053,8.58E-02
TLEMTS-L_vs_CTL,R_bankssts,-0.113,0.098,-0.306,0.08,1315,406,0.251,3.14E-01
TLEMTS-L_vs_CTL,R_caudalanteriorcingulate,-0.06,0.107,-0.268,0.149,1346,411,0.576,6.16E-01
TLEMTS-L_vs_CTL,R_caudalmiddlefrontal,-0.441,0.087,-0.611,-0.271,1348,412,3.61E-07,2.76E-06
TLEMTS-L_vs_CTL,R_cuneus,-0.198,0.075,-0.345,-0.052,1345,412,0.008,1.82E-02
TLEMTS-L_vs_CTL,R_entorhinal,-0.094,0.093,-0.276,0.088,1069,296,0.31,3.72E-01
TLEMTS-L_vs_CTL,R_fusiform,-0.197,0.06,-0.315,-0.08,1344,412,0.001,3.11E-03
TLEMTS-L_vs_CTL,R_inferiorparietal,-0.28,0.116,-0.507,-0.052,1337,411,0.016,3.38E-02
TLEMTS-L_vs_CTL,R_inferiortemporal,-0.047,0.074,-0.192,0.098,1346,412,0.522,5.70E-01
TLEMTS-L_vs_CTL,R_isthmuscingulate,-0.007,0.082,-0.167,0.153,1345,411,0.931,9.31E-01
TLEMTS-L_vs_CTL,R_lateraloccipital,-0.254,0.121,-0.491,-0.016,1347,412,0.036,6.51E-02
TLEMTS-L_vs_CTL,R_lateralorbitofrontal,-0.116,0.099,-0.31,0.078,1347,412,0.24,3.06E-01
TLEMTS-L_vs_CTL,R_lingual,-0.156,0.098,-0.348,0.037,1348,412,0.114,1.62E-01
TLEMTS-L_vs_CTL,R_medialorbitofrontal,-0.073,0.06,-0.191,0.045,1348,410,0.223,2.88E-01
TLEMTS-L_vs_CTL,R_middletemporal,-0.067,0.081,-0.226,0.093,1336,410,0.413,4.69E-01
TLEMTS-L_vs_CTL,R_parahippocampal,-0.126,0.087,-0.296,0.044,1344,412,0.146,1.95E-01
TLEMTS-L_vs_CTL,R_paracentral,-0.378,0.075,-0.526,-0.231,1348,412,5.14E-07,3.54E-06
TLEMTS-L_vs_CTL,R_parsopercularis,-0.156,0.08,-0.313,0.001,1347,412,0.052,8.58E-02
TLEMTS-L_vs_CTL,R_parsorbitalis,-0.139,0.077,-0.29,0.012,1348,412,0.072,1.11E-01
TLEMTS-L_vs_CTL,R_parstriangularis,-0.285,0.06,-0.403,-0.167,1346,412,2.16E-06,1.21E-05
TLEMTS-L_vs_CTL,R_pericalcarine,-0.163,0.078,-0.317,-0.01,1348,411,0.037,6.53E-02
TLEMTS-L_vs_CTL,R_postcentral,-0.333,0.141,-0.61,-0.056,1344,412,0.018,3.58E-02
TLEMTS-L_vs_CTL,R_posteriorcingulate,-0.15,0.097,-0.341,0.041,1348,411,0.123,1.69E-01
TLEMTS-L_vs_CTL,R_precentral,-0.492,0.078,-0.644,-0.339,1345,412,2.37E-10,4.98E-09
TLEMTS-L_vs_CTL,R_precuneus,-0.473,0.104,-0.676,-0.27,1348,412,5.16E-06,2.55E-05
TLEMTS-L_vs_CTL,R_rostralanteriorcingulate,0.2,0.06,0.082,0.318,1348,411,0.001,2.96E-03
TLEMTS-L_vs_CTL,R_rostralmiddlefrontal,-0.242,0.095,-0.428,-0.056,1348,412,0.011,2.37E-02
TLEMTS-L_vs_CTL,R_superiorfrontal,-0.365,0.06,-0.483,-0.247,1345,412,1.44E-09,2.02E-08
