SurfaceArea,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadult-casevsCN-recurrent,L-bankssts,-0.043,0.056,,,7292,1189,0.444,0.797
MDDadult-casevsCN-recurrent,L-caudalanteriorcingulate,0.044,0.035,,,7382,1289,0.212,0.645
MDDadult-casevsCN-recurrent,L-caudalmiddlefrontal,0.053,0.044,,,7398,1292,0.227,0.661
MDDadult-casevsCN-recurrent,L-cuneus,0.009,0.035,,,7418,1296,0.792,0.951
MDDadult-casevsCN-recurrent,L-entorhinal,-0.009,0.058,,,7237,1249,0.883,0.951
MDDadult-casevsCN-recurrent,L-fusiform,0.007,0.035,,,7296,1279,0.838,0.951
MDDadult-casevsCN-recurrent,L-inferiorparietal,-0.004,0.035,,,7379,1287,0.91,0.951
MDDadult-casevsCN-recurrent,L-inferiortemporal,0.064,0.039,,,7415,1274,0.096,0.516
MDDadult-casevsCN-recurrent,L-isthmuscingulate,0.108,0.052,,,7434,1294,0.038,0.516
MDDadult-casevsCN-recurrent,L-lateraloccipital,0.085,0.035,,,7425,1297,0.015,0.516
MDDadult-casevsCN-recurrent,L-lateralorbitofrontal,0.059,0.035,,,7447,1302,0.089,0.516
MDDadult-casevsCN-recurrent,L-lingual,0.058,0.072,,,7432,1299,0.416,0.787
MDDadult-casevsCN-recurrent,L-medialorbitofrontal,0.081,0.073,,,7356,1284,0.264,0.684
MDDadult-casevsCN-recurrent,L-middletemporal,0.015,0.039,,,7322,1225,0.695,0.909
MDDadult-casevsCN-recurrent,L-parahippocampal,-0.024,0.053,,,7385,1284,0.647,0.888
MDDadult-casevsCN-recurrent,L-paracentral,0.069,0.043,,,7340,1283,0.111,0.516
MDDadult-casevsCN-recurrent,L-parsopercularis,-0.001,0.035,,,7412,1295,0.982,0.982
MDDadult-casevsCN-recurrent,L-parsorbitalis,0.01,0.052,,,7439,1299,0.846,0.951
MDDadult-casevsCN-recurrent,L-parstriangularis,-0.047,0.035,,,7426,1295,0.182,0.631
MDDadult-casevsCN-recurrent,L-pericalcarine,-0.008,0.057,,,7446,1296,0.884,0.951
MDDadult-casevsCN-recurrent,L-postcentral,0.019,0.035,,,7364,1278,0.596,0.852
MDDadult-casevsCN-recurrent,L-posteriorcingulate,0.018,0.047,,,7437,1298,0.701,0.909
MDDadult-casevsCN-recurrent,L-precentral,0.061,0.078,,,7381,1288,0.437,0.797
MDDadult-casevsCN-recurrent,L-precuneus,0.02,0.05,,,7428,1294,0.693,0.909
MDDadult-casevsCN-recurrent,L-rostralanteriorcingulate,0.06,0.035,,,7332,1279,0.089,0.516
MDDadult-casevsCN-recurrent,L-rostralmiddlefrontal,0.046,0.035,,,7427,1299,0.192,0.631
MDDadult-casevsCN-recurrent,L-superiorfrontal,0.06,0.035,,,7347,1288,0.086,0.516
MDDadult-casevsCN-recurrent,L-superiorparietal,0.034,0.035,,,7384,1285,0.33,0.719
MDDadult-casevsCN-recurrent,L-superiortemporal,0.041,0.036,,,7316,1215,0.252,0.681
MDDadult-casevsCN-recurrent,L-supramarginal,0.075,0.051,,,7308,1257,0.144,0.63
MDDadult-casevsCN-recurrent,L-frontalpole,-0.058,0.035,,,7449,1300,0.098,0.516
MDDadult-casevsCN-recurrent,L-temporalpole,0.061,0.035,,,7415,1276,0.084,0.516
MDDadult-casevsCN-recurrent,L-transversetemporal,0.022,0.035,,,7446,1300,0.52,0.81
MDDadult-casevsCN-recurrent,L-insula,0.026,0.043,,,7426,1297,0.545,0.829
MDDadult-casevsCN-recurrent,R-bankssts,0.004,0.036,,,7364,1238,0.907,0.951
MDDadult-casevsCN-recurrent,R-caudalanteriorcingulate,0.031,0.035,,,7407,1290,0.375,0.73
MDDadult-casevsCN-recurrent,R-caudalmiddlefrontal,-0.007,0.035,,,7412,1295,0.852,0.951
MDDadult-casevsCN-recurrent,R-cuneus,0.066,0.035,,,7426,1296,0.061,0.516
MDDadult-casevsCN-recurrent,R-entorhinal,0.025,0.036,,,7207,1230,0.485,0.809
MDDadult-casevsCN-recurrent,R-fusiform,-0.035,0.038,,,7316,1278,0.363,0.725
MDDadult-casevsCN-recurrent,R-inferiorparietal,-0.002,0.045,,,7376,1286,0.967,0.981
MDDadult-casevsCN-recurrent,R-inferiortemporal,0.019,0.035,,,7427,1287,0.596,0.852
MDDadult-casevsCN-recurrent,R-isthmuscingulate,0.036,0.057,,,7434,1297,0.521,0.81
MDDadult-casevsCN-recurrent,R-lateraloccipital,0.108,0.035,,,7434,1299,0.002,0.147
MDDadult-casevsCN-recurrent,R-lateralorbitofrontal,0.048,0.052,,,7446,1302,0.355,0.725
MDDadult-casevsCN-recurrent,R-lingual,0.047,0.035,,,7441,1298,0.176,0.631
MDDadult-casevsCN-recurrent,R-medialorbitofrontal,0.034,0.035,,,7408,1290,0.336,0.719
MDDadult-casevsCN-recurrent,R-middletemporal,0.045,0.035,,,7385,1277,0.198,0.631
MDDadult-casevsCN-recurrent,R-parahippocampal,-0.036,0.035,,,7398,1287,0.307,0.716
MDDadult-casevsCN-recurrent,R-paracentral,0.046,0.035,,,7385,1290,0.189,0.631
MDDadult-casevsCN-recurrent,R-parsopercularis,0.005,0.035,,,7411,1293,0.893,0.951
MDDadult-casevsCN-recurrent,R-parsorbitalis,0.056,0.035,,,7442,1299,0.111,0.516
MDDadult-casevsCN-recurrent,R-parstriangularis,-0.003,0.045,,,7414,1297,0.949,0.977
MDDadult-casevsCN-recurrent,R-pericalcarine,0.025,0.035,,,7442,1299,0.475,0.809
MDDadult-casevsCN-recurrent,R-postcentral,0.023,0.035,,,7390,1278,0.519,0.81
MDDadult-casevsCN-recurrent,R-posteriorcingulate,0.036,0.05,,,7440,1300,0.463,0.809
MDDadult-casevsCN-recurrent,R-precentral,0.028,0.059,,,7383,1285,0.635,0.888
MDDadult-casevsCN-recurrent,R-precuneus,0.033,0.035,,,7427,1297,0.339,0.719
MDDadult-casevsCN-recurrent,R-rostralanteriorcingulate,0.05,0.035,,,7387,1286,0.154,0.631
MDDadult-casevsCN-recurrent,R-rostralmiddlefrontal,0.074,0.035,,,7428,1295,0.035,0.516
MDDadult-casevsCN-recurrent,R-superiorfrontal,0.036,0.035,,,7381,1289,0.303,0.716
MDDadult-casevsCN-recurrent,R-superiorparietal,0.006,0.036,,,7402,1279,0.861,0.951
MDDadult-casevsCN-recurrent,R-superiortemporal,0.039,0.036,,,7348,1236,0.276,0.689
MDDadult-casevsCN-recurrent,R-supramarginal,0.01,0.045,,,7369,1273,0.83,0.951
MDDadult-casevsCN-recurrent,R-frontalpole,0.031,0.053,,,7444,1300,0.562,0.837
MDDadult-casevsCN-recurrent,R-temporalpole,0.094,0.042,,,7366,1268,0.027,0.516
MDDadult-casevsCN-recurrent,R-transversetemporal,-0.01,0.059,,,7448,1301,0.868,0.951
MDDadult-casevsCN-recurrent,R-insula,-0.009,0.058,,,7433,1293,0.883,0.951
