SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
SCZ_case_vs_controls,Laccumb,-0.19,0.05,-0.29,-0.08,,,5.08E-04,
SCZ_case_vs_controls,Lamyg,-0.3,0.06,-0.43,-0.18,,,1.53E-06,
SCZ_case_vs_controls,Lcaud,0.01,0.07,-0.12,0.15,,,8.50E-01,
SCZ_case_vs_controls,Lhippo,-0.43,0.06,-0.55,-0.32,,,1.83E-13,
SCZ_case_vs_controls,Lpal,0.19,0.09,0.02,0.36,,,1.28E-09,
SCZ_case_vs_controls,Lput,0.05,0.08,-0.11,0.22,,,3.17E-02,
SCZ_case_vs_controls,Lthal,-0.3,0.07,-0.44,-0.16,,,5.14E-01,
SCZ_case_vs_controls,LLatVent,0.35,0.06,0.24,0.47,,,3.87E-05,
SCZ_case_vs_controls,Raccumb,-0.25,0.06,-0.36,-0.14,,,1.17E-05,
SCZ_case_vs_controls,Ramyg,-0.27,0.05,-0.37,-0.16,,,3.21E-07,
SCZ_case_vs_controls,Rcaud,0.03,0.07,-0.11,0.17,,,6.39E-01,
SCZ_case_vs_controls,Rhippo,-0.43,0.06,-0.55,-0.31,,,3.99E-13,
SCZ_case_vs_controls,Rpal,0.21,0.08,0.06,0.37,,,6.67E-03,
SCZ_case_vs_controls,Rput,0.1,0.09,-0.07,0.27,,,2.37E-01,
SCZ_case_vs_controls,Rthal,-0.27,0.06,-0.38,-0.15,,,8.57E-06,
SCZ_case_vs_controls,RLatVent,0.34,0.06,0.23,0.45,,,2.43E-09,
