0,0,0,0,0,0,9.267,5.6033,0,0,1.5898,0,0,10.09,0,0,0,0,0,0,0,0,4.4449,0,0,0,0,0,9.6444,8.5565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.7537,0,3.5169,0,0,0,7.2434,0,6.6957,0,7.7805,0,4.8882,5.3497,0,0,0,0,0,8.9264,0,8.6953,8.8435,5.2346,10.272,0,0,0,0,0,0,5.5846,0,8.4377,0,0,0,0,0,0,0,0,1.8248,0,0,0,0,0,0,0,0,0,0,5.1578,0,0,3.9101,2.9058,8.464,0,0,0,0,0,0,0,8.044,0,6.7295,0,0,6.5356,7.3017,0,0,4.1055,0,3.18,0,6.0175
0,2.7537,0,0,0,0,9.3537,8.982,0,0,0,0,0,8.4538,0,0,10.383,0,0,0,8.059,1.9924,11.09,0,0,10.448,11.119,7.9417,0,7.2214,0,3.7144,0,0,0,0,9.6436,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3852,0,0,0,0,0,7.553,0,0,7.7916,9.5218,0,0,0,0,0,0,2.6145,0,0,9.9252,0,5.5421,7.6972,6.5607,0,0,5.8463,0,0,0,5.0311
0,0,0,0,0,6.1808,0,0,8.2013,9.6017,4.0025,9.6463,0,0,6.6586,0,0,0,0,11.193,0,0,0,9.6091,0,3.3375,0,10.139,0,0,0,0,0,6.2556,0,0,0,7.8779,0,0,0,0,6.1538,7.2436,0,6.285,0,0,0,0,0,0,0,6.7107,0,0,0,0,0,0,0,8.3795,0,0,0,0,0,0,0,4.4173,0,6.5733,0,6.3458,6.7466,0,0,0,4.6592,0,0,0
0,3.5169,0,0,0,8.7237,0,5.1005,6.341,4.0546,0,5.8493,0,0,8.7476,0,0,0,0,3.7744,0,0,0,6.1349,0,0,0,0,5.602,0,0,8.6951,0,8.6884,0,0,0,0,3.2795,0,0,0,0,0,0,0,0,0,2.5752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9073,0,10.141,3.448,4.8448,6.6231,0,0,0,0,0,0,0
0,0,0,6.1808,8.7237,0,9.3508,10.609,6.2033,10.823,0,10.375,0,7.2843,9.4942,0,5.9041,4.6718,0,6.1762,0,0,0,0,0,8.0602,0,8.7506,6.9303,0,0,8.3909,0,6.9595,0,0,0,4.7797,0,0,0,0,3.9561,5.8449,0,5.4068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0351,0,0,0,0,0,0,0,7.7647,0,9.0626,0,6.101,8.3837,0,0,0,4.8397,4.3862,0,6.074
9.267,0,9.3537,0,0,9.3508,0,9.742,5.4267,10.665,0,0,0,10.84,5.6255,0,6.9175,0,0,0,8.0334,0,8.3548,0,0,8.8858,6.8862,11.84,9.2025,10.335,0,0,0,7.3156,0,0,0,0,0,0,0,0,3.6779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6692,0,0,0,7.0747,0,0,0,0,0,0,0,0,4.9375,4.9792,0,7.8652,0,0,0,0,0,0,0,0
5.6033,0,8.982,0,5.1005,10.609,9.742,0,0,9.4671,0,8.0313,4.9583,10.741,6.0179,0,8.517,0,8.013,5.4838,0,0,7.5346,0,0,9.3594,0,0,0,7.5062,0,8.4702,0,7.0092,0,0,0,0,0,0,0,7.1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1057,0,0,0,7.5036,3.9925,0,0,3.3458,0,0,3.1889,6.3571,5.2892,7.4562,0,5.3595,8.3404,0,0,0,0,0,6.2889,6.927
0,7.2434,0,8.2013,6.341,6.2033,5.4267,0,0,0,5.9407,8.8901,0,0,8.564,5.4096,3.1626,0,0,7.2255,0,9.3325,0,10.738,7.0006,0,8.7517,8.2219,0,0,0,0,0,5.5468,0,3.759,0,5.8415,0,0,4.5668,0,8.4462,0,0,5.6327,0,0,3.2129,5.793,0,0,0,5.0702,0,6.4307,0,7.7332,0,0,0,7.2438,0,4.0283,0,0,0,3.4669,5.9342,0,0,7.8272,5.5863,7.0321,8.1309,0,0,0,0,4.1282,0,6.6754
0,0,0,9.6017,4.0546,10.823,10.665,9.4671,0,0,6.0238,10.067,0,9.3682,5.7577,0,0,0,0,9.683,0,0,0,0,0,0,0,10.315,8.9342,0,0,5.7562,0,8.8679,0,0,0,0,0,0,0,5.9794,0,0,0,0,0,0,0,0,0,0,0,7.1626,0,0,0,0,0,0,0,8.5016,0,0,0,0,0,0,0,6.8032,2.9362,6.8479,6.0994,9.1273,8.9532,0,0,0,0,0,4.949,0
